row_id,fold,true_label,technique,pred_xgb,pred_cnn,proba_xgb,proba_cnn,disagreement_direction,llm_verdict,llm_pred,llm_confidence,llm_agrees_with,parse_status,rationale_steps,key_features,raw
115,3,0,benign,0,1,0.6923177242279053,0.9844757318496704,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
123,3,1,T1078_Valid_Accounts,0,1,0.6923177242279053,0.9844757318496704,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
238,4,0,benign,0,1,0.5382307767868042,0.9783802032470704,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
246,1,0,benign,0,1,0.3909652233123779,0.9352187514305116,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
376,1,0,benign,0,1,0.5864039063453674,0.9987131357192992,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
697,3,0,benign,0,1,0.6923177242279053,0.9844757318496704,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
868,1,0,benign,0,1,0.694502592086792,0.9844192266464232,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
1039,4,0,benign,0,1,0.5382307767868042,0.9783802032470704,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
1248,0,1,T1078_Valid_Accounts,0,1,0.4985829293727875,0.9518041014671326,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
1438,3,1,T1078_Valid_Accounts,0,1,0.6923177242279053,0.9844757318496704,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
1862,4,1,T1078_Valid_Accounts,0,1,0.5382307767868042,0.9783802032470704,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
1880,4,0,benign,0,1,0.5382307767868042,0.9783802032470704,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
2748,3,0,benign,0,1,0.6923177242279053,0.9844757318496704,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
2840,4,0,benign,0,1,0.3245709240436554,0.9873520731925964,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
2847,4,1,T1078_Valid_Accounts,0,1,0.619727611541748,0.9875256419181824,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],"RuntimeError(""Engine core initialization failed. See root cause above. Failed core proc(s): {'EngineCore': 1}"")"
2988,4,0,benign,0,1,0.5382307767868042,0.9783802032470704,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],RuntimeError('Engine core initialization failed. See root cause above. Failed core proc(s): {}')
