host,pid,ppid,proc_name,seq_length,unique_syscalls,uid_is_root,euid_root,uid_changed,max_uid_euid_delta,auid_euid_mismatch,failed_call_count,priv_op_count,exec_count,network_count,file_access_count,shell_from_service,sensitive_path_access,is_privesc,lifetime_seconds,events_per_second,failed_call_rate,technique,true_label,pred_rf,proba_rf,correct_rf,errtype_rf,pred_xgb,proba_xgb,correct_xgb,errtype_xgb,pred_cnn,proba_cnn,correct_cnn,errtype_cnn,pred_iforest,proba_iforest,correct_iforest,errtype_iforest
aeriella,7440,7225,sh,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1.0,1.0,0.0,T1059,1,1,0.996250736007273,1,TP,1,0.9971170425415039,1,TP,1,0.994871973991394,1,TP,1,0.7402811563223674,1,TP
aeriella,7467,7225,sh,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1.0,1.0,0.0,T1059,1,1,0.996250736007273,1,TP,1,0.9971170425415039,1,TP,1,0.994871973991394,1,TP,1,0.7402811563223674,1,TP
aeriella,8510,8497,uname,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1.0,1.0,0.0,T1595,1,1,0.9246321283682526,1,TP,1,0.9940682649612427,1,TP,1,0.8041646480560303,1,TP,0,0.2178726311710316,0,FN
aeriella,8838,8827,uname,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1.0,1.0,0.0,T1595,1,1,0.9246321283682526,1,TP,1,0.9940682649612427,1,TP,1,0.8041646480560303,1,TP,0,0.2178726311710316,0,FN
aeriella,8930,8929,sh,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1.0,1.0,0.0,T1059,1,1,0.9973322599013505,1,TP,1,0.9963501691818237,1,TP,1,0.9982372522354126,1,TP,1,0.7800597340868695,1,TP
aeriella,9275,9272,apt-key,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1.0,1.0,0.0,T1059,1,1,0.9850461020300558,1,TP,1,0.9998020529747009,1,TP,1,0.9998939037322998,1,TP,1,0.7118638730386392,1,TP
aeriella,9326,9325,apt-key,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1.0,1.0,0.0,T1059,1,1,0.9850461020300558,1,TP,1,0.9998020529747009,1,TP,1,0.9998939037322998,1,TP,1,0.7118638730386392,1,TP
aeriella,9557,1,apt.systemd.dai,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1.0,1.0,0.0,T1059,1,1,0.9976440522122196,1,TP,1,0.9993671774864197,1,TP,1,0.999765157699585,1,TP,1,0.6411859667353402,1,TP
aeriella,9716,9704,uname,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1.0,1.0,0.0,T1595,1,1,0.9246321283682526,1,TP,1,0.9940682649612427,1,TP,1,0.8041646480560303,1,TP,0,0.2178726311710316,0,FN
aeriella,9835,8687,sshd,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1.0,1.0,0.0,T1222,1,1,0.9829193821728741,1,TP,1,0.9869545102119446,1,TP,0,0.9988262057304382,0,FN,1,0.47877122273605954,1,TP
aeriella,9944,9923,bash,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1.0,1.0,0.0,T1059,1,1,0.996250736007273,1,TP,1,0.9971170425415039,1,TP,1,0.994871973991394,1,TP,1,0.7402811563223674,1,TP
aeriella,9956,9940,dpkg,24,3,1,1,0,0,1,0,1,0,0,0,0,0,1,1.0,24.0,0.0,T1222,1,1,0.9977499500032306,1,TP,1,0.9957860112190247,1,TP,1,0.9995537400245667,1,TP,1,0.8688576823233478,1,TP
aeriella,9993,9837,bash,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1.0,1.0,0.0,T1059,1,1,0.996250736007273,1,TP,1,0.9971170425415039,1,TP,1,0.994871973991394,1,TP,1,0.7402811563223674,1,TP
aeriella,10064,9837,bash,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1.0,1.0,0.0,T1059,1,1,0.996250736007273,1,TP,1,0.9971170425415039,1,TP,1,0.994871973991394,1,TP,1,0.7402811563223674,1,TP
aeriella,10077,10076,sudo,1,1,0,1,0,1000,1,0,0,1,0,0,0,0,1,1.0,1.0,0.0,T1548,1,1,0.99962491368221,1,TP,1,0.9980929493904114,1,TP,1,0.7892406582832336,1,TP,0,0.2679412777849586,0,FN
aeriella,10079,10078,sh,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1.0,1.0,0.0,T1059,1,1,0.9976440522122196,1,TP,1,0.9993671774864197,1,TP,1,0.999765157699585,1,TP,1,0.6411859667353402,1,TP
aeriella,10715,10695,postgres,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0,1.0,0.0,benign,0,0,0.2166819564997268,1,TN,0,0.024650000035762787,1,TN,1,0.8060829043388367,0,FP,0,0.21604526658361217,1,TN
aeriella,10715,10695,postgres,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0,1.0,0.0,benign,0,0,0.2166819564997268,1,TN,0,0.024650000035762787,1,TN,1,0.8060829043388367,0,FP,0,0.21604526658361217,1,TN
aeriella,10715,10695,postgres,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0,1.0,0.0,benign,0,0,0.2166819564997268,1,TN,0,0.024650000035762787,1,TN,1,0.8060829043388367,0,FP,0,0.21604526658361217,1,TN
aeriella,10715,10695,postgres,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0,1.0,0.0,benign,0,0,0.2166819564997268,1,TN,0,0.024650000035762787,1,TN,1,0.8060829043388367,0,FP,0,0.21604526658361217,1,TN
aeriella,10715,10695,postgres,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0,1.0,0.0,benign,0,0,0.2166819564997268,1,TN,0,0.024650000035762787,1,TN,1,0.8060829043388367,0,FP,0,0.21604526658361217,1,TN
aeriella,10715,10695,postgres,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0,1.0,0.0,benign,0,0,0.2166819564997268,1,TN,0,0.024650000035762787,1,TN,1,0.8060829043388367,0,FP,0,0.21604526658361217,1,TN
aeriella,10715,10695,postgres,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0,1.0,0.0,benign,0,0,0.2166819564997268,1,TN,0,0.024650000035762787,1,TN,1,0.8060829043388367,0,FP,0,0.21604526658361217,1,TN
aeriella,10715,10695,postgres,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0,1.0,0.0,benign,0,0,0.2166819564997268,1,TN,0,0.024650000035762787,1,TN,1,0.8060829043388367,0,FP,0,0.21604526658361217,1,TN
aeriella,10715,10695,postgres,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.0,1.0,0.0,benign,0,0,0.2166819564997268,1,TN,0,0.024650000035762787,1,TN,1,0.8060829043388367,0,FP,0,0.21604526658361217,1,TN
