row_id,lifetime_seconds,events_per_second,seq_length,unique_syscalls,uid_is_root,uid_changed,euid_root,max_uid_euid_delta,is_suid_exec,auid_euid_mismatch,ephemeral_privileged,failed_call_rate,failed_call_count,priv_op_count,exec_count,file_access_count,network_count,shell_from_service,sensitive_path_access,parent_child_rarity,fold,true_label,pred_xgb,proba_xgb,pred_cnn,proba_cnn,disagreement_direction
123,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,1,0,0.6923177242279053,1,0.9917534589767456,xgb_benign_cnn_malicious
1039,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,0,0,0.5382307767868042,1,0.9489884972572328,xgb_benign_cnn_malicious
1837,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,0,0.4626511931419372,1,0.7419862747192383,xgb_benign_cnn_malicious
2840,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,0.973325,4,0,0,0.3245709240436554,1,0.9654507040977478,xgb_benign_cnn_malicious
2874,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,0,0.4626511931419372,1,0.7419862747192383,xgb_benign_cnn_malicious
3781,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,0,0.4626511931419372,1,0.7419862747192383,xgb_benign_cnn_malicious
3893,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,0,0,0.5382307767868042,1,0.9489884972572328,xgb_benign_cnn_malicious
5351,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,1,0,0.6923177242279053,1,0.9917534589767456,xgb_benign_cnn_malicious
5947,0.001,5000.0,5,4,1,0,1,0.0,0,0,1,0.8,4,0,1,0,0,0,0,1.0,3,0,0,0.6923177242279053,1,0.9917534589767456,xgb_benign_cnn_malicious
7190,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,0,0.4626511931419372,1,0.7419862747192383,xgb_benign_cnn_malicious
7925,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,0,0.4626511931419372,1,0.7419862747192383,xgb_benign_cnn_malicious
8389,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,0,0.4626511931419372,1,0.7419862747192383,xgb_benign_cnn_malicious
9039,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,0,0.5382307767868042,1,0.9489884972572328,xgb_benign_cnn_malicious
9078,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,0,0.5382307767868042,1,0.9489884972572328,xgb_benign_cnn_malicious
10245,0.001,8000.0,8,3,1,0,1,0.0,0,0,1,0.875,7,0,3,0,0,0,0,1.0,4,1,0,0.5382307767868042,1,0.9489884972572328,xgb_benign_cnn_malicious
10257,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,0,0.4626511931419372,1,0.7419862747192383,xgb_benign_cnn_malicious
10573,0.016,749.998,12,4,1,0,1,0.0,0,0,1,0.9167,11,0,4,0,0,0,0,0.977843,1,0,0,0.5584598183631897,1,0.9479522109031676,xgb_benign_cnn_malicious
11231,0.001,11000.0,11,3,1,0,1,0.0,0,1,1,0.9091,10,0,4,0,0,0,0,1.0,4,0,0,0.4626511931419372,1,0.7419862747192383,xgb_benign_cnn_malicious
